sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc2
KS1W_35,0.057834217,-0.032927906,0.059432892,-0.011217532,-0.02741858,-0.008535346,-0.020799827,Wild,KS
KS1W_40,-0.047829009,-0.010482599,0.010688224,-0.023208906,-0.000382034,-0.008322672,0.008869424,Wild,KS
KS1W_9,0.037132559,-0.029691837,0.055286733,-0.022356727,-0.022931655,-0.013202117,-0.000556376,Wild,KS
KS1W9_3_342,-0.069419945,0.009455576,-0.017882642,-0.012038013,0.010979017,-0.000114224,0.006818712,Wild,KS
KS2E_6,0.062332559,-0.029534251,0.051314193,-0.010979426,-0.016915436,-0.006541294,-0.003883003,Wild,KS
KS2W_12,-0.014576694,-0.01406906,0.021986117,-0.014894629,-0.000183937,-0.004867296,0.015019936,Wild,KS
KS2W_14,-0.031940049,-0.030425573,0.027164672,0.000104787,-0.020457202,-0.00142932,-0.026111161,Wild,KS
KS2W_15,0.050178078,-0.03578996,0.054669386,-0.004201853,-0.02036982,-0.010603015,-0.006922334,Wild,KS
KS2W_15R,-0.066383222,-0.007597051,0.00855347,-0.041957724,-0.005869411,-0.003820786,0.001296168,Wild,KS
KS2W_24,0.050390987,-0.035336905,0.045148122,0.00161318,-0.009884596,-0.010705935,-0.002406774,Wild,KS
KS2W_32,0.069231291,-0.031556426,0.058038121,-0.008972981,-0.017564925,-0.003915168,0.003000335,Wild,KS
KS2W_35,0.040159389,-0.057331306,0.037937484,0.051292142,-0.025493742,-0.002023506,-0.029959894,Wild,KS
KS2W_6_1R,0.029431801,-0.033740584,0.051267204,-0.007142945,-0.020159055,-0.008685344,-0.014781988,Wild,KS
KS2W_8,0.05253701,-0.030645799,0.057254446,-0.014069592,-0.020294663,-0.00770828,-0.007892534,Wild,KS
KS2W_9,-0.01351283,-0.017317152,0.023340263,-0.014818077,-0.001233243,-0.005715801,0.01075446,Wild,KS
KS2W24_7_43,-0.059225382,-0.002008293,-0.00429847,-0.023167722,0.010197149,-0.003890236,0.013940312,Wild,KS
Laguna_Pueblo,-0.181451505,0.024244026,-0.072784149,-0.059228159,0.053025279,0.012602001,0.017351998,Landrace,Landrace
Mandan1_PPN046,-0.167220882,0.025540632,-0.074606883,-0.071370758,0.057725543,0.015653532,0.015996935,Landrace,Landrace
Mandan2,-0.177154195,0.026229835,-0.07517401,-0.066170921,0.055743294,0.013856249,0.01792372,Landrace,Landrace
MB1W_11,-0.062945386,-0.034430729,-0.015033697,0.078413969,-0.00788543,0.006635353,-0.032252496,Wild,SK_MB
MB1W_14,-0.045415265,-0.044313288,-0.007789159,0.099086321,-0.016023855,0.006494555,-0.041390288,Wild,SK_MB
MB1W_16,-0.019978947,-0.062159976,0.001285983,0.13741225,-0.030690292,0.007008794,-0.067756965,Wild,SK_MB
MB1W_16B,0.005102198,-0.071161305,0.007926251,0.152651549,-0.039186303,0.008918807,-0.081186014,Wild,SK_MB
MB1W_20,-0.02593973,-0.056209212,8.83E-07,0.11986055,-0.02237113,0.008128401,-0.053716626,Wild,SK_MB
MB1W_30,-0.034405216,-0.054069502,-0.003540483,0.115843436,-0.026546291,0.006603783,-0.057096012,Wild,SK_MB
MB1W_31,-0.022254734,-0.05678407,-0.001453371,0.129241345,-0.030109375,0.010576621,-0.066013439,Wild,SK_MB
MB1W_39,-0.018581367,-0.061365455,0.001418796,0.125793184,-0.027424572,0.005922064,-0.06810141,Wild,SK_MB
MB1W_40,-0.00032891,-0.068827973,0.002884492,0.13039138,-0.027605178,0.010110936,-0.070955761,Wild,SK_MB
MB1W_8,-0.006894806,-0.060103126,0.001383755,0.125158461,-0.022529545,0.010443941,-0.056505367,Wild,SK_MB
MB1W16_2_283,-0.051554356,0.00635501,-0.014937835,-0.00403068,0.008038408,0.00103192,0.002968298,Wild,SK_MB
Mex_A1516,-0.047871613,0.031999791,-0.099821673,-0.032985814,-0.038157768,0.000952494,0.013266766,MexWild,MexWild
Mex_A1572,-0.022946933,0.041689709,-0.101791645,-0.046681964,-0.020895174,0.001690845,-0.006954589,MexWild,MexWild
Mex_Ann261,-0.050082153,0.037550829,-0.095573151,-0.045295625,-0.012120292,0.00204649,0.004729927,MexWild,MexWild
MexCult1,-0.147412984,0.019243987,-0.058196738,-0.050226321,0.041475153,0.009961402,0.012265793,Landrace,Landrace
MexCult15,-0.055516086,0.007068485,-0.017945155,-0.013279597,0.011039612,0.001931893,0.005807938,Landrace,Landrace
MexCult3,-0.108647027,0.013483057,-0.03768876,-0.035196426,0.026464448,0.004414289,0.006151438,Landrace,Landrace
MexCult6,-0.093297003,0.013673206,-0.036731176,-0.028594121,0.020773241,0.002756261,0.006452568,Landrace,Landrace
MexCult9,-0.076962799,0.010363289,-0.026129532,-0.02171825,0.017451553,0.002756704,0.005545271,Landrace,Landrace
MO1W_11,-0.055041239,-0.007014702,0.015303957,-0.041741919,-0.010984951,-0.002734507,-0.003375339,Wild,MO
