sample_intraspecific,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc,Pop_geoLoc2
KS1W_9,0.035296192,0.046456799,0.042681294,-0.025274328,-0.005212849,0.022319043,-0.006285864,Wild,KS,KS
KS1W9_3_342,-0.06930674,-0.025744124,0.002119097,0.009907439,0.007352571,-0.005081689,0.010873326,Wild,KS,KS
KS2E_6,0.062539742,0.054223036,0.034127879,-0.021943938,-0.006789296,0.040318763,-0.035331224,Wild,KS,KS
KS2W_12,-0.014612349,0.016378118,0.024588335,-0.002296797,0.013366365,0.001631763,0.016664655,Wild,KS,KS
KS2W_14,-0.034032966,0.033203451,0.011595158,-0.021873889,-0.030137373,0.005694856,-0.007677012,Wild,KS,KS
KS2W_15,0.050273518,0.057263277,0.028127012,-0.022112406,-0.014118424,0.029588334,-0.020717303,Wild,KS,KS
KS2W_15R,-0.068055073,-0.009380088,0.037769125,-0.007180269,-0.003874134,0.01118604,0.000101166,Wild,KS,KS
KS2W_24,0.051186666,0.052842358,0.016419444,-0.010453011,-0.006007764,0.031716232,-0.022655358,Wild,KS,KS
KS2W_32,0.068674814,0.058997044,0.033661495,-0.018126379,-7.76E-05,0.029702895,-0.02494282,Wild,KS,KS
KS2W_35,0.039855526,0.079884914,-0.030536692,-0.02650314,-0.03138693,0.00791794,-0.022176897,Wild,KS,KS
KS2W_6_1R,0.027137096,0.054754267,0.030309844,-0.020061736,-0.017532845,0.029632808,-0.016620319,Wild,KS,KS
KS2W_8,0.052728836,0.054025751,0.038107392,-0.021025932,-0.009814828,0.0272948,-0.01049613,Wild,KS,KS
KS2W_9,-0.015895261,0.018602652,0.02432177,-0.005894619,0.007682037,0.005100272,0.013786764,Wild,KS,KS
KS2W24_7_43,-0.061200295,-0.011476691,0.015920084,0.006494337,0.014477182,-0.005255721,0.01848533,Wild,KS,KS
Laguna_Pueblo,-0.181704562,-0.09760774,0.014012672,0.051445791,0.020285681,0.016664374,-0.026687943,Landrace,Landrace,Landrace
Mandan1_PPN046,-0.165790866,-0.104914742,0.022213353,0.056575734,0.018458412,0.027606883,-0.04494354,Landrace,Landrace,Landrace
Mandan2,-0.175584864,-0.103428045,0.018706111,0.054608984,0.021149605,0.022059304,-0.035762616,Landrace,Landrace,Landrace
MB1W_11,-0.065255006,0.035022741,-0.076424442,-0.00372438,-0.027410412,-0.055347291,0.041718772,Wild,MB,SK_MB
MB1W_14,-0.049090442,0.054943757,-0.090224736,-0.011763057,-0.032874808,-0.065799399,0.049744156,Wild,MB,SK_MB
MB1W_16,-0.021705326,0.086143461,-0.117900226,-0.025256564,-0.056845456,-0.086312524,0.060680505,Wild,MB,SK_MB
MB1W_16B,0.001993909,0.101823367,-0.130391488,-0.030199835,-0.07171808,-0.087265301,0.053380084,Wild,MB,SK_MB
MB1W_20,-0.028362135,0.078106164,-0.106604434,-0.017160949,-0.04733641,-0.074784553,0.050329222,Wild,MB,SK_MB
MB1W_30,-0.037726417,0.070697131,-0.104870994,-0.018597765,-0.049580021,-0.07443011,0.049743673,Wild,MB,SK_MB
MB1W_31,-0.026243596,0.080556426,-0.115545862,-0.022116269,-0.059299037,-0.08344245,0.057728066,Wild,MB,SK_MB
MB1W_39,-0.022013178,0.082736119,-0.111111303,-0.023758233,-0.05995418,-0.078993291,0.053495553,Wild,MB,SK_MB
MB1W_40,-0.00137243,0.091264575,-0.117109876,-0.022772428,-0.06244776,-0.065255412,0.031318422,Wild,MB,SK_MB
MB1W_8,-0.010477319,0.081640066,-0.111626459,-0.02207494,-0.049120564,-0.073391753,0.044496833,Wild,MB,SK_MB
MB1W16_2_283,-0.05239431,-0.017696198,-0.002429869,0.008040557,0.003452376,-0.006571892,0.008792551,Wild,MB,SK_MB
Mex_A1516,-0.049323715,-0.105326498,-0.023930856,-0.037924096,0.008621745,-0.005686801,0.023995363,MexWild,MexWild,MexWild
Mex_A1572,-0.023043646,-0.115620984,-0.010919793,-0.020992182,-0.012830967,-0.049260867,0.103389645,MexWild,MexWild,MexWild
